#{"t_start": 1654175145.4163804, "env_id": "Walker2d-v3"}
r,l,t
433.431579,189,0.090402
447.741201,200,0.183985
121.047879,214,0.287191
540.798088,252,0.408505
420.056595,191,0.501583
569.386485,269,0.629965
458.935224,208,0.729236
590.400679,273,0.857508
430.277016,200,0.957058
402.92737,188,1.048315
586.728826,342,1.216899
482.362361,228,1.327064
518.890254,286,1.466624
542.22752,271,1.598705
583.123673,356,1.771366
561.358913,313,1.925171
560.107457,309,2.075899
207.42735,323,2.23323
758.349153,396,2.423473
744.632012,293,2.564898
178.533373,116,2.621547
116.801421,182,2.709262
80.001046,132,2.772419
238.519015,141,2.840246
85.432636,177,2.925681
64.317333,122,2.984149
94.759406,162,3.062131
64.110569,131,3.125199
90.620056,165,3.2048
420.909851,213,3.307351
1108.918714,510,3.551605
334.483658,157,3.626786
667.583327,308,3.773602
288.920032,199,3.86795
427.90602,353,4.035799
524.866156,238,4.14946
312.255741,147,4.219424
748.987304,338,4.388399
548.734221,233,4.49989
723.831215,323,4.653486
893.881944,439,4.864042
2794.264697,1000,5.337714
2376.541216,1000,5.813528
1838.461153,1000,6.296869
2374.171396,1000,6.776475
987.617513,437,6.987622
2356.88776,1000,7.462662
2484.119766,814,7.85015
2416.721549,1000,8.323236
1608.938675,577,8.599222
582.467323,261,8.725394
625.32536,265,8.85288
689.948632,300,8.995729
71.617303,193,9.089818
44.319366,143,9.159689
626.562762,292,9.301894
902.950051,363,9.476054
129.440712,253,9.600412
718.373041,288,9.738787
713.963183,282,9.873425
771.718088,336,10.034438
791.019068,345,10.199216
751.866622,326,10.356045
986.733847,376,10.536236
157.780945,252,10.657397
1022.078823,405,10.850649
661.540565,321,11.005971
522.259427,234,11.118343
555.073799,248,11.237328
561.86427,234,11.349505
438.031841,240,11.46487
278.255375,141,11.533226
433.677447,236,11.646388
497.744345,210,11.746591
501.424416,235,11.859319
632.146139,276,11.990262
646.913347,288,12.127527
623.217785,293,12.266965
578.299473,234,12.379111
612.203567,269,12.507301
353.661473,189,12.599793
328.482852,184,12.689118
112.593366,229,12.800838
302.507355,154,12.875285
128.255234,222,12.983369
93.819876,258,13.108463
397.044091,245,13.228271
133.980961,218,13.335371
214.634421,324,13.494859
148.132741,267,13.626165
154.863268,155,13.700053
419.2528,233,13.813862
713.82273,319,13.966718
426.511135,204,14.063474
1289.267511,608,14.351261
674.985047,275,14.481542
2212.484237,1000,14.959018
570.072731,294,15.099326
713.415486,315,15.248488
798.112781,314,15.398143
732.909264,294,15.652547
501.899576,206,15.751561
849.112629,362,15.925083
719.35302,335,16.085161
559.213177,269,16.215988
731.554872,308,16.363741
797.838993,361,16.538008
826.79309,323,16.693357
409.817614,213,16.795257
691.134898,319,16.950465
