Wall time,Step,Value
1652961836.9329731,125,-0.040265146642923355
1652961839.7646425,720,-1.530712604522705
1652961841.8780272,1218,-2.279386281967163
1652961846.412609,2044,-3.0118024349212646
1652961850.4578593,2794,-3.7389121055603027
1652961854.665086,3530,-4.8057050704956055
1652961858.8249924,4231,-7.006812572479248
1652961863.0857022,5034,-9.358175277709961
1652961866.503178,5798,-11.67984390258789
1652961870.2895594,6388,-14.083654403686523
1652961873.9154403,7101,-16.464271545410156
1652961877.7283711,7781,-18.85267448425293
1652961880.807459,8315,-20.55342674255371
1652961885.208881,9151,-22.666852951049805
1652961889.7280467,10058,-25.050350189208984
1652961893.7153118,10724,-26.988037109375
1652961898.2690074,11502,-29.06403923034668
1652961901.6819892,12118,-30.803892135620117
1652961905.0438771,12776,-32.72810745239258
1652961909.1375806,13579,-33.4956169128418
1652961913.0177698,14178,-34.848270416259766
1652961916.3931384,15138,-36.451133728027344
1652961922.3673234,15940,-39.01082229614258
1652961926.1579995,16611,-41.24269485473633
1652961931.3341258,17479,-44.17514419555664
1652961934.7499754,18229,-45.862308502197266
1652961938.2014956,18850,-48.67461013793945
1652961943.4997258,19774,-49.17750549316406
1652961949.6788723,20941,-52.301570892333984
1652961954.0253434,21743,-54.012760162353516
1652961958.094157,22472,-55.32771682739258
1652961962.302786,23231,-56.82896423339844
1652961966.2612355,23955,-58.453426361083984
1652961970.2546618,24678,-60.124298095703125
1652961974.2249637,25391,-61.216705322265625
1652961977.6520736,26003,-63.393375396728516
1652961980.8140569,26594,-64.01006317138672
1652961984.2173383,27206,-65.40145874023438
1652961987.6670578,27822,-67.85604095458984
1652961990.8583174,28455,-68.4998550415039
1652961994.1632762,29038,-69.52959442138672
1652961997.5047097,29619,-70.12323760986328
1652962000.6149325,30266,-70.93561553955078
1652962004.2941856,30892,-72.1366195678711
1652962008.1671307,31604,-73.52034759521484
1652962011.7986183,32248,-74.5077133178711
1652962015.2326055,32978,-75.85586547851562
1652962019.3845336,33659,-76.68505096435547
1652962023.0590105,34340,-77.66426849365234
1652962028.215276,35288,-78.83320617675781
1652962033.5386114,36273,-80.28889465332031
1652962038.1599236,37141,-81.44989776611328
1652962042.4865415,37910,-82.76541900634766
1652962047.0377417,38792,-83.67251586914062
1652962052.0660036,39629,-85.29496765136719
1652962055.8760896,40351,-86.01937866210938
1652962060.9572883,41309,-86.89276885986328
1652962064.9754338,42065,-88.3685073852539
1652962070.1477447,42965,-90.49605560302734
1652962074.7107153,43828,-90.95104217529297
1652962079.1592016,44569,-91.60870361328125
1652962083.469678,45332,-93.40157318115234
1652962087.0971026,45989,-93.53955078125
1652962090.7712328,46660,-94.9399185180664
1652962094.4838364,47322,-96.01630401611328
1652962098.3567026,48024,-96.80604553222656
1652962101.8644407,48597,-97.64545440673828
1652962105.483451,49260,-98.1485366821289
1652962109.1705928,49919,-98.39215087890625
1652962113.0678,50608,-98.75089263916016
1652962116.9396734,51294,-100.051513671875
1652962120.8203614,51929,-99.85855102539062
1652962124.8926227,52636,-101.08863830566406
1652962128.9647508,53375,-100.70750427246094
1652962133.1397939,54111,-101.2265625
1652962138.3216407,54964,-102.16256713867188
1652962143.4030368,55821,-102.45013427734375
1652962148.0266376,56529,-102.34042358398438
1652962153.1224868,57443,-104.35394287109375
1652962159.0295577,58325,-104.04046630859375
1652962164.178324,59182,-103.78062438964844
1652962169.8970184,60049,-104.56889343261719
1652962175.3814356,60956,-104.86290740966797
1652962180.7274916,61835,-105.47492218017578
1652962187.4597347,62969,-105.59928894042969
1652962193.2386482,63922,-105.768798828125
1652962199.4272704,64794,-106.49742126464844
1652962205.3505175,65715,-106.10305786132812
1652962210.7986155,66544,-107.27362060546875
1652962216.6478117,67426,-107.1290283203125
1652962222.951029,68370,-107.59068298339844
1652962228.6699264,69236,-107.17867279052734
1652962234.415906,70091,-107.89131164550781
1652962239.5715783,70769,-107.67240905761719
1652962245.3658004,71584,-108.26412963867188
1652962252.0909886,72470,-108.38963317871094
1652962258.0481372,73344,-108.82804107666016
1652962264.950244,74258,-109.42198181152344
1652962271.8488538,75025,-109.72584533691406
1652962277.6329398,75786,-109.81800079345703
1652962283.6020837,76601,-110.69596099853516
1652962290.2073815,77368,-109.82954406738281
1652962297.2971456,78231,-110.92420196533203
1652962304.4161496,79124,-110.80904388427734
1652962311.4213622,80016,-111.51740264892578
1652962318.6130793,80771,-111.69877624511719
1652962324.470517,81499,-112.05997467041016
1652962331.6769247,82486,-112.84574127197266
1652962340.0637858,83337,-113.1233139038086
1652962348.7162142,84370,-112.32071685791016
1652962355.8618815,85265,-112.63326263427734
1652962364.3312044,86286,-113.94115447998047
1652962374.8608632,87573,-114.49836730957031
1652962386.009436,88872,-114.72772979736328
1652962405.0183988,91443,-116.36996459960938
1652962419.8561587,93309,-116.49054718017578
1652962444.0912979,96197,-117.42001342773438
1652962473.4296029,98836,-118.7699966430664
1652962483.1336775,100002,-118.78084564208984
